Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades
4.73,-194.48,-5.893333,0.542529,-0.526989,-5,7.2508,33
4.68,-469.77,-4.745152,0.840328,-0.286665,-5,28.9244,99
4.59,-3047.58,-38.576962,0.598392,-0.738979,-5,71.1312,79
4.57,-963.04,-24.076,0.604363,-0.637957,-5,27.8796,40
4.48,-2632.76,-23.934182,0.757318,-0.424746,-5,78.5163,110
4.21,-1177.04,-24.021224,0.596333,-0.477666,-5,39.2969,49
4.14,-1070.43,-16.725469,0.668916,-0.581692,-5,33.9155,64
4.11,-818.18,-15.151481,0.87915,-0.217715,-2.750949,52.4277,54
4.08,-1226.57,-15.725256,0.556755,-0.697295,-5,34.4802,78
4.07,-1384.68,-20.067826,0.691045,-0.622745,-5,40.6066,69
4.07,-1186.38,-12.621064,0.752618,-0.538994,-5,40.0967,94
4.06,-1381.53,-12.225929,0.699352,-0.45438,-5,48.5728,113
4.06,-116.9,-3.653125,0.819738,-0.40917,-5,5.6766,32
4.04,-826.96,-25.059394,0.629312,-0.529929,-3.373913,29.6184,33
4.03,-117.05,-3.657813,0.264992,-0.646864,-5,3.5733,32
4.02,-862.31,-26.130606,0.567385,-0.531722,-5,30.1779,33
3.94,-170.3,-5.872414,0.805198,-0.298872,-2.459102,10.9861,29
3.81,-124.26,-4.284828,0.69209,-0.667419,-5,3.7214,29
3.75,229.13,8.812692,1.353345,0.813816,3.091222,5.1183,26
3.74,-210.86,-6.801935,0.832166,-0.248664,-2.452456,15.893,31
3.71,-704.38,-23.479333,0.48505,-0.679654,-5,19.437,30
3.58,-734.46,-25.326207,0.357832,-0.870358,-5,16.5158,29
3.44,-200.12,-6.90069,0.754345,-0.432299,-4.831852,8.8167,29
3.42,-236.3,-8.148276,0.692286,-0.438258,-4.321793,10.6431,29
3.41,-897.28,-28.944516,0.390952,-0.733779,-5,23.4252,31
3.34,-978.04,-25.737895,0.744263,-0.54268,-5,32.8302,38
3.33,-861.04,-24.601143,0.532722,-0.631854,-5,24.7692,35
3.3,-506.88,-16.350968,0.467406,-0.807417,-5,12.35,31
3.25,-175.33,-6.261786,0.516598,-0.708204,-5,4.9319,28
3.23,141.49,5.053214,1.142466,0.158142,0.852107,17.4844,28
3.15,4194.21,174.75875,2.306546,2.582705,5.500378,26.0438,24
3.03,116.62,4.485385,1.444741,0.792578,5.977504,2.8182,26
2.97,-193.92,-6.464,0.681827,-0.49662,-5,7.5955,30
2.9,159.64,6.14,1.120155,0.252248,1.521052,11.1231,26
2.9,103.41,3.977308,1.141669,0.231669,1.468692,8.3281,26
2.86,-105.65,-3.521667,0.261705,-0.880784,-5,2.3922,30
2.85,-281.85,-9.395,0.216866,-0.880369,-5,6.3796,30
2.78,196.69,8.551739,1.989486,1.528996,5.223945,2.4606,23
2.73,1580.35,68.71087,1.835161,1.647502,8.619036,15.0596,23
2.71,-658.85,-23.530357,0.298035,-0.75776,-5,16.7595,28
2.57,88.13,3.5252,1.237727,0.405998,1.635166,4.172,25
2.54,-429.93,-15.923333,0.576624,-0.569791,-5,14.176,27
2.51,-504.4,-17.393103,0.738968,-0.398342,-5,22.5764,29
2.31,41.7,1.7375,1.204833,0.253835,3.028567,3.2143,24
2.3,-682.62,-21.331875,0.479421,-0.638792,-5,20.2292,32
2.29,-168.5,-6.480769,0.618692,-0.431167,-5,7.6274,26
2.26,-1881.11,-62.703667,0.434586,-0.779473,-5,44.5877,30
2.21,-3709.49,-90.475366,0.282884,-0.806584,-5,78.088,41
2.15,62.63,2.5052,1.086552,0.141406,1.074703,8.5048,25
1.99,-1177.56,-35.683636,0.471648,-0.749671,-5,29.6233,33
1.99,-199.06,-7.109286,0.311068,-0.88142,-5,4.4927,28
1.97,-579.64,-20.701429,0.576714,-0.567068,-5,19.1407,28
1.92,-1040.15,-30.592647,0.288504,-0.867406,-5,23.2438,34
1.88,-583.35,-20.115517,0.527369,-0.622924,-5,17.7029,29
1.82,-3989.81,-137.579655,0.338306,-0.696752,-5,87.2006,29
1.7,81.05,3.684091,1.330412,0.420384,5.353292,3.7319,22
1.68,123.42,5.61,1.492105,0.955411,5.315788,2.5132,22
1.67,-724.98,-26.851111,0.597262,-0.569859,-5,23.352,27
1.65,-2826.84,-100.958571,0.387707,-0.825639,-5,63.5691,28
1.61,43.8,1.904348,1.182409,0.280985,2.9444,3.0409,23
1.61,-237.84,-9.5136,0.684152,-0.351237,-4.713355,12.9307,25
1.57,-41.67,-1.73625,0.863743,-0.191922,-2.734826,4.2385,24
1.57,-578.07,-23.1228,0.482248,-0.614288,-5,18.2632,25
1.56,-144.9,-6.0375,0.740796,-0.304655,-3.843968,9.1625,24
1.49,171.28,6.343704,1.047422,0.101556,0.682049,29.0275,27
1.46,-238.43,-9.934583,0.339712,-0.685518,-5,6.8784,24
1.41,34.95,1.519565,1.112597,0.137086,0.8119,4.899,23
1.37,233.75,11.6875,1.764388,0.433513,2.38236,9.7612,20
1.36,-1563.14,-57.894074,0.462341,-0.740333,-5,38.1666,27
1.31,389.06,17.684545,1.333593,0.511834,4.240941,13.7543,22
1.31,-471.64,-18.14,0.542079,-0.670067,-5,13.5497,26
1.29,-56.58,-2.46,0.905217,-0.148601,-1.642098,7.3065,23
1.29,-397.79,-15.299615,0.754062,-0.536872,-5,13.8671,26
1.24,-307.4,-13.365217,0.49689,-0.55745,-5,10.6371,23
1.14,-177.1,-7.084,0.569581,-0.527963,-5,6.5648,25
